uid,total_facebook_statuses,account_membership_period,service_support_calls,number_of_snaps,total_whatsapp_charge,sub_country_code,total_twitter_tweets,country,total_email_characters,email_plan,total_whatsapp_msg_characters,social_account_number,total_whatsapp_msgs,total_facebook_charge,total_twitter_charge,snapchat_plan,total_email_charge,total_twitter_tweet_characters,total_emails,total_facebook_status_characters,turn_anti_social
494,78,180,1,33,9.31,415,79,DC,7.6,no,206.9,370-4139,121,39.41,19.8,yes,2.05,232.9,4,231.8,0
495,112,77,2,0,10.5,415,89,AL,6.7,no,233.4,408-4174,66,27.71,18.62,no,1.81,219.1,3,,0
496,98,140,1,0,6.37,408,109,MS,8.2,no,141.6,372-5262,66,27.64,17.53,no,2.21,206.2,2,,0
497,106,83,0,0,10.11,510,116,RI,10.2,no,224.7,357-2294,92,44.15,12.98,no,2.75,152.7,2,259.7,0
498,137,65,4,0,9.4,415,83,IN,12.7,no,208.8,329-6603,111,21.95,19.42,no,3.43,228.5,6,129.1,1
499,102,155,1,0,10.19,510,117,KY,7.8,no,226.5,413-2201,122,31.38,16.66,no,2.11,196,1,184.6,0
500,80,102,1,0,7.61,415,133,MD,10.3,no,169.2,349-7362,105,46.09,14.62,no,2.78,172,5,271.1,0
501,69,37,0,0,9.34,415,113,CA,12.9,no,207.5,345-1243,117,32.49,10.98,no,3.48,129.2,1,191.1,0
502,73,128,1,34,10.77,408,79,SD,,no,239.3,372-8048,81,24.19,16.56,yes,4.32,194.8,6,142.3,0
503,90,153,1,0,8.22,415,121,NJ,8.5,no,182.7,419-6133,108,32.95,16.6,no,2.3,195.3,3,193.8,0
504,120,106,1,0,7.24,510,82,ID,6,no,160.8,383-2566,62,46.65,16.88,no,1.62,198.6,3,274.4,0
505,68,30,1,0,11.12,408,96,MN,,no,247.2,399-4800,101,9.18,15.24,no,2.75,179.3,8,54,0
506,58,111,4,0,7.15,415,108,AK,7.9,no,158.8,364-7719,104,29.38,15.56,no,2.13,183.1,3,172.8,1
507,86,38,2,0,7.52,415,76,VT,14.1,no,167,416-7307,77,23.43,24.34,no,3.81,,3,137.8,0
508,108,90,3,0,12.23,415,63,GA,14.1,no,271.8,390-3401,124,19.24,16.09,no,3.81,189.3,4,113.2,0
509,121,106,1,0,10.63,415,87,VA,11.8,no,236.3,353-8928,91,39.98,18.75,no,3.19,220.6,4,235.2,0
510,120,83,0,0,6.93,415,116,OH,15.8,no,153.9,370-9116,114,57.36,19.33,no,4.27,227.4,7,337.4,1
511,77,55,0,0,4.34,510,100,DC,,yes,96.4,354-5058,92,18.04,10.5,no,3.48,,3,106.1,0
512,116,91,2,0,8.8,408,98,MI,6.6,no,195.5,345-2448,121,22.9,25.1,no,1.78,295.3,5,,0
513,118,116,2,27,9.58,415,91,OH,7,no,212.9,386-5684,67,34.8,17.8,yes,1.89,209.4,2,204.7,0
514,106,84,2,38,11.72,408,106,ND,7.4,no,260.4,351-1894,87,32.81,13.06,yes,2,153.6,5,193,0
515,101,92,1,0,9.76,415,100,WI,,no,216.9,351-2773,99,26.81,25.38,no,3.73,298.6,3,157.7,0
516,97,98,3,29,7.39,415,89,DE,12.8,no,164.3,327-5817,76,30.58,16.08,yes,3.46,189.2,7,179.9,0
517,59,81,2,0,8.18,510,131,MN,9.2,no,181.7,375-2522,121,24.75,24.47,no,2.48,287.9,4,145.6,0
518,91,165,6,0,8.5,510,108,WI,10.9,no,188.8,402-7746,99,26.21,22.83,no,2.94,268.6,4,154.2,0
519,87,69,0,0,8.2,408,66,OR,11.9,no,182.3,375-9180,75,33.34,20.13,no,3.21,236.8,1,196.1,0
520,120,109,0,0,6.92,415,119,WA,11,no,153.7,361-8239,86,31.28,10.23,no,2.97,120.4,3,184,0
521,72,174,1,0,,415,124,NM,8.8,no,105.6,340-5580,116,40.66,16.02,no,2.38,188.5,3,239.2,0
522,80,122,1,40,,415,90,SD,12.7,yes,185.9,406-7737,99,36.79,21.22,yes,3.43,249.7,4,216.4,0
523,87,130,2,19,9.24,408,99,MT,10.8,no,205.3,347-3821,114,25.99,18.12,yes,2.92,213.2,6,152.9,0
524,89,145,1,0,8.23,415,121,AR,16.1,no,182.9,332-5820,121,38.11,26.77,no,4.35,314.9,3,224.2,1
525,88,48,1,0,5.8,415,117,MI,7.1,no,128.9,407-2718,137,40.8,11.99,no,1.92,141,9,240,0
526,101,122,4,0,,510,77,GA,9.7,yes,120.1,411-5677,133,23.8,16.69,no,2.62,196.4,4,140,1
527,109,21,2,0,7.73,415,111,WV,13,no,171.7,332-5582,125,15.62,16.86,no,3.51,198.4,7,91.9,0
528,105,99,1,0,6.12,408,101,CT,5.6,no,136,330-6165,117,16.22,17.61,no,1.51,207.2,5,95.4,0
529,94,94,1,0,7.78,408,106,NV,7.9,yes,172.9,351-4025,76,15.22,28.89,no,2.13,339.9,1,89.5,1
530,80,103,1,34,8.27,415,108,DE,11.8,no,183.8,346-5053,77,23.6,12.07,yes,3.19,142,7,,0
531,107,101,3,0,7.76,408,96,OK,7.6,no,172.4,405-1780,85,35.63,19.45,no,2.05,228.8,2,209.6,0
532,80,81,2,0,10.81,415,94,NM,11.8,no,240.2,402-9304,84,29.44,20.08,no,3.19,236.2,6,173.2,0
533,109,79,3,0,8.51,415,87,MA,11.3,no,189.1,419-2767,103,26.67,10.39,no,3.05,122.2,5,156.9,0
534,74,93,3,0,,408,88,NE,6.6,no,252.2,332-4291,120,25.91,23.34,no,1.78,274.6,5,152.4,0
535,81,117,1,14,5.52,408,103,WI,8.6,no,122.6,375-8493,102,13.63,18.62,yes,2.32,219,2,80.2,0
536,101,179,0,0,,510,99,IL,11.6,no,181.9,348-2150,103,19.74,17.15,no,3.13,201.8,5,116.1,0
537,119,139,4,0,6.74,415,118,MD,8.3,no,149.8,335-3133,64,30.87,28.53,no,2.24,,6,181.6,0
538,107,138,1,0,7.87,415,120,VT,,no,174.9,354-4352,119,39.12,18.02,no,3.56,212,4,,0
539,135,139,3,0,6.89,510,146,SD,9.8,no,153,331-9149,92,33.32,15.81,no,2.65,186,1,196,0
540,110,131,2,0,9.12,510,101,SD,10.2,no,202.6,347-1473,125,31.94,17.04,no,2.75,200.5,11,187.9,0
541,120,92,3,0,12.81,510,112,VA,12,yes,284.6,411-2958,95,42.89,17.6,no,3.24,207,5,252.3,1
542,94,50,0,26,7.87,415,78,VT,8,yes,174.9,387-5891,109,52.21,24.6,yes,2.16,289.4,3,,0
543,113,57,3,0,,415,134,TX,8.4,no,208.1,403-6225,81,27.37,17.68,no,2.27,208,4,161,0
544,131,168,2,0,13.18,415,73,IN,9.9,no,292.8,384-2219,100,31.14,15.23,no,2.67,179.2,5,183.2,0
545,102,149,2,20,9.02,415,123,AL,11.3,no,200.4,348-6659,89,44.95,18.67,yes,3.05,219.6,3,264.4,0
546,120,161,2,0,10.01,415,120,NV,11.8,no,222.5,414-6426,91,12.38,22.7,no,3.19,267.1,2,72.8,0
547,125,126,0,24,7.15,408,90,MA,12.1,no,158.9,381-2745,73,10.01,25.97,yes,3.27,305.5,6,58.9,0
548,94,107,1,0,10.22,408,125,CT,14.4,no,227.2,339-2734,125,17.58,16.09,no,3.89,189.3,3,103.4,0
549,101,192,4,0,7.53,415,50,CO,12.7,no,167.4,370-8379,83,37.67,24.24,no,3.43,285.2,6,221.6,0
550,114,137,0,0,7.32,415,110,NJ,,no,162.6,358-1921,104,41.38,10.3,no,3.29,121.2,5,243.4,0
551,112,105,2,21,12.03,415,43,MA,8.7,no,267.4,354-4448,93,24.99,16.77,yes,2.35,197.3,3,,0
552,101,112,0,0,8.25,510,82,RI,11.4,no,183.4,341-3464,107,33.05,16.18,no,3.08,190.3,2,194.4,0
553,120,47,0,0,6.87,510,123,KS,13.3,yes,152.6,418-5300,96,8.13,15.21,no,3.59,178.9,7,47.8,1
554,60,51,2,12,8.66,510,134,AK,12.3,yes,192.4,352-9130,98,23.09,17.05,yes,3.32,200.6,7,135.8,0
555,124,71,0,0,8.5,415,90,WY,11.3,no,189,409-7034,129,41.43,5.1,no,3.05,60,2,243.7,0
556,158,90,1,0,10.74,510,83,WY,11,no,238.6,400-8069,103,21.32,22.87,no,2.97,269.1,7,125.4,0
557,92,147,0,0,12.76,408,82,MD,6.2,no,283.6,376-4292,83,46.58,19.7,no,1.67,231.8,1,,1
558,89,23,6,0,9.89,408,108,CO,15,no,219.8,393-4027,73,32.33,14.14,no,4.05,166.4,4,,0
559,110,56,2,0,10.14,408,102,NM,10.6,no,225.3,385-5722,91,33.49,18.94,no,2.86,,6,197,0
560,138,133,2,0,5.28,408,117,MI,12.8,no,117.3,387-9137,103,47.14,19.41,no,3.46,228.4,4,,1
561,57,95,0,0,8.87,510,118,TN,9.7,no,197.2,365-7784,94,29.58,23.89,no,2.62,281.1,2,174,0
562,151,113,1,0,11.07,415,113,IN,7.4,no,246,353-6007,116,35.6,29.52,no,2,347.3,2,209.4,1
563,70,69,3,0,11.7,510,108,TN,12.5,no,259.9,358-1912,119,33.2,18.42,no,3.38,216.7,4,195.3,0
564,103,137,0,0,11.85,408,84,IL,,yes,263.4,352-5787,81,40.34,15.02,no,3.83,176.7,4,237.3,1
565,104,183,1,31,8.84,415,74,SD,,no,196.5,372-2990,85,29.1,16.46,yes,2.75,193.6,4,171.2,0
566,105,46,2,0,6.53,408,83,RI,,no,145.1,404-9775,89,6.87,14.65,no,2.43,172.4,2,40.4,0
567,138,100,0,0,6.77,415,92,AL,,no,150.4,377-5258,120,27.25,18.81,no,3.02,221.3,2,160.3,0
568,80,149,2,0,8.47,408,127,ND,9.7,no,188.2,372-9852,102,29.82,16.78,no,2.62,197.4,2,175.4,0
569,92,148,1,0,11.05,510,125,UT,,no,245.5,377-9520,131,34.51,12.83,no,3.94,150.9,9,203,0
570,67,52,1,0,15.43,408,108,PA,5.2,no,342.8,410-4739,130,36.7,18.45,no,1.4,217,2,215.9,0
571,95,147,1,0,10.83,408,128,ND,7.8,no,240.6,358-8729,84,34.9,14.17,no,2.11,166.7,4,205.3,0
572,116,67,1,0,8.09,415,86,AZ,7.2,no,179.7,404-4481,83,35.82,18.63,no,1.94,219.2,6,210.7,0
573,97,72,1,0,7.83,408,105,KY,8,no,174.1,407-9290,94,30.11,15.7,no,2.16,,6,177.1,0
574,100,83,3,0,9.78,415,84,NH,12.4,no,217.4,415-6145,106,39.32,17.88,no,3.35,210.4,2,231.3,0
575,125,97,1,0,10.02,408,100,OH,11.1,no,222.7,405-6189,101,43.59,23.28,no,3,273.9,1,256.4,1
576,91,49,1,0,6.61,408,146,MT,8.9,no,146.8,353-8970,114,40.22,18.78,no,2.4,220.9,2,236.6,0
577,110,110,4,0,8.28,415,140,FL,7.8,no,184.1,398-6703,86,41.23,13.8,no,2.11,162.3,3,,0
578,88,78,0,0,11.79,408,93,SD,8.6,no,262.1,394-3171,108,27.81,24.09,no,2.32,283.4,9,,0
579,94,128,2,0,8.47,415,83,LA,6.9,no,188.3,361-2170,124,25.11,24.08,no,1.86,,5,147.7,0
580,103,29,2,0,,510,151,MS,12.8,no,218.4,401-6982,106,53.24,18.39,no,3.46,216.3,4,313.2,1
581,94,47,1,28,5.11,408,108,AL,7.8,no,113.5,404-5387,84,24.02,14.28,yes,2.11,168,2,141.3,0
582,107,97,0,0,10.85,510,105,WY,7.3,yes,241,346-1629,120,40.27,13.4,no,1.97,157.6,2,236.9,1
583,112,74,2,0,9.66,408,100,NH,9.7,no,214.7,413-2194,88,50.68,17.11,no,2.62,201.3,4,298.1,1
584,87,56,1,24,12,415,76,NH,12.7,no,266.6,389-5988,98,20.69,15.64,yes,3.43,,3,121.7,0
585,88,94,0,28,5.31,510,102,KS,16.1,no,118,375-8505,71,39.64,9.63,yes,4.35,113.3,4,233.2,0
586,91,137,2,0,11.46,415,100,AZ,,no,254.7,370-4395,75,23.99,12.51,no,2.16,147.2,7,141.1,0
587,99,123,0,0,10.44,408,80,NH,2.1,no,231.9,366-7560,75,38.08,17.91,no,0.57,210.7,5,224,0
588,70,48,1,34,9.81,415,121,WV,7.6,no,217.9,367-2056,71,33.66,23.26,yes,2.05,273.7,4,198,0
589,134,60,1,0,9.18,408,85,KY,7.9,no,204,334-2729,103,23.02,17.5,no,2.13,205.9,4,135.4,0
590,107,133,5,39,5.79,408,77,VA,6.7,no,128.7,385-1464,85,40.78,21.57,yes,1.81,253.8,3,239.9,0
591,77,74,1,0,6.97,510,111,CT,9,no,154.9,380-3186,109,34.65,17.43,no,2.43,205.1,2,203.8,0
592,128,119,0,27,6.59,415,133,OH,11.1,no,146.5,385-7922,80,37.42,22.8,yes,3,268.2,3,220.1,0
593,96,139,0,25,7.37,415,79,NE,8.3,no,163.7,346-5349,83,23.51,6.85,yes,2.24,80.6,8,138.3,0
594,141,135,1,27,11.06,510,99,AR,12.3,no,245.8,419-6033,112,46.48,13.09,yes,3.32,154,6,273.4,0
595,134,142,0,0,6.21,408,106,MA,8.3,no,138.1,343-1009,108,36.86,15.96,no,2.24,187.8,2,216.8,0
596,97,107,2,0,8.02,510,131,GA,,no,178.3,385-2683,106,33.07,15.84,no,3.43,,1,194.5,0
597,142,76,1,0,8.77,510,75,MI,9.3,no,194.9,411-1261,76,15.39,17.99,no,2.51,211.7,2,90.5,0
598,113,84,0,0,7.06,415,90,CA,10.4,no,156.8,417-1488,103,47.6,17.19,no,2.81,202.2,4,280,1
599,91,133,1,0,11.72,408,94,NH,12.2,no,260.4,401-1454,78,27.56,18.03,no,3.29,212.1,5,162.1,0
600,119,112,2,0,,408,67,DE,10.3,no,179.5,351-8894,112,17.19,18.22,no,2.78,214.4,5,101.1,0
601,84,66,3,0,11.91,415,88,WI,8.3,yes,264.7,356-3333,107,35.48,14.73,no,2.24,173.3,3,208.7,0
602,92,72,0,0,,415,110,SC,13.1,no,184.8,415-2641,124,35.33,16.63,no,3.54,195.7,4,207.8,0
603,101,83,0,0,10.59,408,92,MO,11.4,no,235.3,362-2356,150,20.04,13.63,no,3.08,160.4,10,117.9,0
604,87,70,3,0,9.76,415,114,WV,9.4,no,216.9,402-2072,104,36.52,11.14,no,2.54,131,3,214.8,0
605,81,82,3,0,11.51,415,117,TX,10.6,no,255.8,395-9215,83,32.16,15.67,no,2.86,,5,189.2,1
606,123,93,0,22,10.81,408,83,DC,11.7,no,240.3,345-1994,107,52.05,16.12,yes,3.16,189.7,2,306.2,0
607,132,122,0,0,8.21,415,99,PA,11,yes,182.4,383-4061,57,39.25,20.67,no,2.97,243.2,2,230.9,1
608,60,51,1,0,7.59,408,64,WI,8.9,no,168.6,350-7288,134,33.63,18.79,no,2.4,221,5,197.8,0
609,96,95,2,0,11.29,415,89,OR,13.4,no,250.9,364-8774,113,28.49,14.96,no,3.62,176,6,167.6,0
610,66,135,5,0,9,415,116,OR,8.4,no,200.1,377-1293,112,44.85,21.36,no,2.27,251.3,2,263.8,1
611,110,24,1,25,,510,105,MN,6.7,no,231.2,396-4460,55,28.03,17.79,yes,1.81,209.3,9,164.9,0
612,112,63,1,0,11.66,415,111,RI,8.9,yes,259,366-4287,58,10.69,17.25,no,2.4,202.9,8,62.9,0
613,59,127,1,27,11.61,415,111,RI,3.8,no,257.9,400-1280,73,23.82,18.99,yes,1.03,,10,140.1,0
614,130,70,0,0,11.73,415,130,WY,11.6,no,260.6,365-6205,96,29.82,13.56,no,3.13,159.5,4,175.4,0
615,121,91,2,0,6.13,408,87,LA,13.3,no,136.3,413-4811,80,25.02,14.89,no,3.59,,3,147.2,0
616,104,123,4,0,,415,117,NY,12.9,no,170.3,329-6731,95,20.94,16.15,no,3.48,190,5,123.2,1
617,97,201,1,21,5.22,415,81,TX,15.1,no,116.1,408-1486,125,32.64,20.32,yes,4.08,239.1,3,192,0
618,108,45,2,0,10.81,408,120,WI,9,no,240.2,335-9501,106,19.18,18.6,no,2.43,218.8,3,112.8,0
619,95,121,0,34,5.06,408,66,AK,7.5,no,112.4,382-5743,125,41.65,18.44,yes,2.03,216.9,8,,0
620,98,69,1,37,6.47,415,105,LA,5.9,no,143.7,420-7692,117,26.35,12.1,yes,1.59,142.4,4,155,0
621,79,123,0,27,7.82,415,78,RI,15,no,173.8,333-9728,116,37.18,13.89,yes,4.05,163.4,1,218.7,0
622,95,127,0,25,11.92,415,109,NC,5.1,no,264.9,418-5141,104,13.97,13.88,yes,1.38,163.3,6,82.2,0
623,78,75,1,0,6.91,510,99,LA,7.8,yes,153.5,358-9898,100,26.04,17.92,no,2.11,210.8,3,153.2,0
624,98,123,3,0,,415,77,TN,,no,243.9,337-8950,114,28.37,18.85,no,3.46,221.8,4,166.9,0
625,94,90,1,22,10,415,90,ND,6.4,no,222.2,329-8638,108,21.17,19.69,yes,1.73,231.7,12,124.5,0
626,112,68,1,0,10.52,415,100,UT,8.4,no,233.8,403-8916,97,36.36,22.14,no,2.27,260.5,3,,1
627,81,63,2,0,10.36,510,115,IA,6.5,no,230.2,402-1725,85,26.1,24.42,no,1.76,287.3,5,153.5,0
628,109,78,3,0,9.3,510,49,MI,14,no,206.7,414-2695,136,23.36,20.2,no,3.78,237.6,11,137.4,0
629,84,42,1,0,2.03,408,113,WY,8,no,45,357-7060,117,24.87,21.75,no,2.16,255.9,12,146.3,0
630,94,48,2,0,8.88,510,103,IN,7.2,no,197.4,342-6696,94,51.07,11.32,no,1.94,133.2,5,300.4,0
631,134,89,0,0,7.01,408,105,AR,10.9,yes,155.7,410-3725,86,35.17,14.25,no,2.94,167.7,4,206.9,0
632,122,131,0,39,4.72,415,136,WI,9.1,no,104.8,331-3174,94,11.75,8.61,yes,2.46,101.3,4,69.1,0
633,110,134,1,0,10.65,415,64,AL,,no,236.6,352-2998,105,30.26,13.07,no,3.16,153.8,4,178,0
634,54,132,0,10,,415,68,OH,11.5,no,142.3,375-5414,116,31.09,24.85,yes,3.11,292.4,4,182.9,0
635,81,89,1,0,,415,74,MO,9.1,no,131.9,373-7713,120,30.38,19.86,no,2.46,233.7,4,178.7,0
636,128,115,2,0,8.9,408,74,IN,11.1,no,197.7,348-7224,104,24.94,9.03,no,3,106.2,4,,0
637,126,165,1,0,10.28,510,65,VT,,no,228.4,345-1998,126,41.29,17.83,no,0,209.8,0,242.9,0
638,89,151,0,0,5.38,415,83,WY,4.3,no,119.5,394-8861,100,28.93,15.94,no,1.16,187.5,3,170.2,0
639,60,127,4,0,7.73,415,159,AR,6.2,yes,171.8,416-3649,122,24.34,15.26,no,1.67,179.5,4,143.2,1
640,108,66,2,26,8.59,408,135,ME,5.4,no,190.8,378-4145,95,43.33,20.67,yes,1.46,243.2,3,254.9,0
641,123,205,2,0,8.47,510,81,IN,10.1,no,188.2,361-5864,67,8.48,12.81,no,2.73,150.7,4,49.9,0
642,92,122,2,22,9.23,510,121,AZ,8.6,no,205,350-7227,103,34.77,11.87,yes,2.32,139.6,5,204.5,0
643,91,62,4,0,10.28,415,130,NM,8.5,no,228.4,339-5423,102,41.7,10.45,no,2.3,122.9,4,245.3,0
644,88,99,2,0,10.35,415,98,DE,12.4,no,229.9,415-1141,125,23.92,17.93,no,3.35,210.9,4,140.7,0
645,97,90,1,0,9.71,408,134,TX,8.4,yes,215.8,355-7293,154,37.71,17.32,no,2.27,,4,221.8,0
646,130,134,2,50,6.15,415,104,OR,,no,136.7,359-7255,107,35.5,11.3,yes,3,132.9,4,208.8,0
647,90,50,1,0,8.16,415,72,MN,6.1,no,181.4,350-8921,111,26.71,18.98,no,1.65,223.3,2,157.1,0
648,93,105,2,0,,408,106,NV,16.2,no,243.5,415-1203,55,28.24,14.95,no,4.37,175.9,3,,0
649,104,61,1,0,10.38,408,131,NE,17.3,no,230.6,420-8897,106,45.41,15.33,no,4.67,180.4,4,267.1,1
650,87,83,0,36,10.29,510,105,NC,13.3,no,228.6,366-2541,109,16.3,22.24,yes,3.59,261.6,4,95.9,0
651,95,134,0,0,9.83,415,101,RI,8.8,no,218.5,413-1789,60,24.09,17.48,no,2.38,205.6,6,,0
652,110,70,0,0,6.82,408,90,MS,8.9,no,151.5,384-4385,101,25.23,22.7,no,2.4,,4,148.4,0
653,134,97,1,0,7.89,415,0,UT,11.8,no,175.4,418-3181,94,35.56,0,no,3.19,0,6,209.2,0
654,87,210,3,31,8.67,415,103,NC,10.1,no,192.7,363-7802,97,53.35,12.55,yes,2.73,147.7,7,313.8,0
655,92,86,1,0,,510,87,TX,8.8,no,148.7,400-7987,115,15.78,13.57,no,2.38,159.6,5,92.8,0
656,124,145,1,0,13.01,408,86,VA,7.6,no,289.2,392-6239,135,33.86,10.71,no,2.05,126,3,199.2,0
657,99,108,2,30,,510,113,LA,9.8,no,177.9,380-7624,95,47.02,18.71,yes,2.65,220.1,6,276.6,0
658,62,111,0,0,6.77,510,124,AL,11.2,no,150.4,390-7863,138,29.99,17.09,no,3.02,201,2,176.4,0
659,101,107,1,0,11.22,415,111,NM,12.1,no,249.4,407-2259,117,37.79,24.31,no,3.27,286,4,222.3,1
660,107,99,7,0,9.4,408,103,HI,8.8,no,209,413-9328,95,23.07,17.71,no,2.38,208.4,3,135.7,1
661,143,113,2,0,7.88,415,93,OR,13.1,no,175.1,367-5923,86,27.17,17.86,no,3.54,210.1,7,159.8,0
662,108,101,0,33,9.23,415,122,GA,15.5,no,205.1,383-8695,90,34.02,16.06,yes,4.19,188.9,4,200.1,0
663,113,95,0,0,14.65,415,144,CT,,no,325.6,392-5941,99,33.73,20.05,no,2.73,235.9,3,198.4,0
664,66,101,0,0,8.69,415,85,IL,,no,193.2,342-8702,115,21.22,21.86,no,3.62,257.2,4,124.8,0
665,128,36,0,30,5.82,408,80,AK,14.5,no,129.3,341-9764,109,24.87,13.81,yes,3.92,162.5,6,146.3,0
666,72,124,0,0,8.07,415,134,VT,12,no,179.4,416-5623,91,30.33,19.86,no,3.24,233.6,2,178.4,0
667,71,105,6,0,6.65,415,83,UT,5.3,no,147.7,385-8184,114,18.09,20.41,no,1.43,240.1,4,106.4,1
668,109,142,0,25,10.25,408,120,NH,9.8,yes,227.8,383-2901,60,32.49,12.72,yes,2.65,149.6,3,191.1,0
669,127,74,0,0,8.82,415,148,RI,9.1,no,196,344-9403,94,31.91,13.89,no,2.46,163.4,5,187.7,0
670,86,74,3,0,,415,99,MI,12.3,no,259,359-6232,121,53.4,18.9,no,3.32,222.4,5,314.1,1
671,110,75,1,0,9.7,415,86,IA,11.1,no,215.6,404-2942,103,23.55,13.02,no,3,153.2,7,138.5,0
672,139,85,1,27,4.02,408,90,ID,13.8,no,89.3,350-8884,75,33.39,23.88,yes,3.73,,4,,0
673,98,66,3,0,8.17,415,74,MA,10.5,no,181.5,416-7393,94,19.79,8.13,no,2.84,95.6,3,,0
674,129,108,1,0,,415,103,AK,7.9,no,170.2,330-5462,89,17.51,20.6,no,2.13,242.3,3,103,0
675,77,150,0,29,6.39,415,52,RI,,no,141.9,415-8151,113,35.68,13.43,yes,1.78,158,1,209.9,0
676,105,81,0,0,11.62,510,120,DC,11.9,yes,258.2,385-7861,113,38.66,17.98,no,3.21,211.5,3,227.4,0
677,88,72,0,0,12.12,415,129,NC,6.8,no,269.3,352-5663,118,33.41,13.48,no,1.84,158.6,3,196.5,0
678,110,60,1,0,9.17,415,93,CA,11.1,yes,203.8,330-8351,119,31.11,17.57,no,3,206.7,6,183,0
679,94,76,1,0,7.69,510,80,NC,10,no,170.8,421-8141,114,28.17,21.88,no,2.7,257.4,4,165.7,0
680,93,127,2,0,9.21,415,130,WI,9.2,no,204.6,343-9365,131,37.16,12.74,no,2.48,149.9,5,218.6,0
681,96,137,0,19,9.51,415,146,KS,7.8,no,211.4,329-4474,109,29.8,20.51,yes,2.11,241.3,2,175.3,0
682,91,127,0,25,13.5,408,64,VA,4.8,no,300,414-1246,99,29.41,20.89,yes,1.3,245.8,3,173,0
683,89,101,4,0,8.83,415,89,VT,11.6,no,196.3,407-2292,77,26.15,19.89,no,3.13,234,2,,0
684,71,107,1,0,6.66,415,78,MD,13.2,no,148.1,347-3406,87,50.13,16.39,no,3.56,192.8,5,294.9,1
685,125,43,0,0,10.34,408,88,VT,12.6,no,229.8,331-8713,106,23.09,13.87,no,3.4,163.2,3,,0
686,109,125,1,32,7.85,408,109,OR,9.4,no,174.4,379-1336,82,16.41,12.39,yes,2.54,145.8,2,96.5,0
687,138,148,2,0,8.88,510,123,FL,8.6,yes,197.4,394-7710,62,25.19,13.57,no,2.32,159.6,3,148.2,0
688,91,128,3,0,6.44,415,60,SD,14.7,no,143.2,353-7461,112,42.04,15.53,no,3.97,,2,247.3,0
689,119,111,1,0,11.18,510,94,SC,,no,248.5,407-3949,94,13.31,16.85,no,3.27,198.2,4,78.3,0
690,86,122,3,0,9.32,415,59,NC,6.4,no,207,396-8662,67,36.65,14.26,no,1.73,167.8,8,215.6,0
691,79,149,0,0,9.33,408,107,ME,9.1,no,207.4,408-4323,111,40.39,16.35,no,2.46,192.4,9,237.6,0
692,111,147,0,0,6.44,415,98,WI,9.9,yes,143.2,405-5403,146,38.28,15.72,no,2.67,184.9,1,225.2,1
693,96,96,2,26,8.01,415,84,DE,11.1,no,178,345-3734,105,29.89,17.56,yes,3,206.6,2,175.8,0
694,92,73,1,0,10.09,408,114,DC,5.8,no,224.2,355-5922,128,20.74,11.76,no,1.57,138.3,5,122,0
695,91,167,2,0,7.95,415,105,MO,10.7,yes,176.7,397-8772,110,41.62,5.17,no,2.89,60.8,3,244.8,0
696,97,87,2,0,12.71,415,97,WI,10.6,no,282.5,331-4184,132,40.46,13.98,no,2.86,164.5,6,238,0
697,76,136,2,24,9.65,415,114,MS,8.8,no,214.4,348-7071,91,29.68,15.01,yes,2.38,176.6,5,174.6,0
698,108,71,3,0,12.66,415,109,DE,6.7,no,281.4,362-7318,56,33.64,15.43,no,1.81,,5,197.9,0
699,84,92,1,0,7.15,415,105,DE,10.8,no,158.9,386-1374,105,33.49,22.89,no,2.92,269.3,4,197,0
700,58,59,0,0,,510,88,NJ,14.8,no,304.3,352-9836,110,33.15,16.87,no,4,198.5,9,195,0
701,101,89,3,0,8.14,415,94,OR,12.6,no,180.8,343-3399,85,18.9,10.38,no,3.4,122.1,2,111.2,0
702,101,176,1,0,7.4,408,78,MD,9,no,164.4,365-3493,79,34.32,13.15,no,2.43,154.7,2,201.9,0
703,108,112,1,0,5.89,415,102,WV,11.6,no,130.9,380-5286,90,44.44,13.13,no,3.13,154.5,2,261.4,0
704,93,75,1,42,4.7,415,108,NJ,11.2,no,104.5,327-6989,91,42.31,14.52,yes,3.02,170.8,8,,0
705,109,95,3,32,10.19,415,91,ID,10.5,no,226.5,393-2220,90,41.99,10.68,yes,2.84,,4,247,0
706,88,102,3,0,,510,89,MI,,no,188.5,381-2726,121,41.17,19.82,no,1.67,233.2,6,242.2,0
707,97,68,3,22,8.1,408,94,ND,4.8,no,180,421-2723,114,14.03,24.64,yes,1.3,289.9,4,82.5,0
708,100,161,1,0,6.37,415,74,NH,11.5,no,141.5,349-4397,69,29.48,18.16,no,3.11,213.7,4,173.4,0
709,90,108,3,42,11.01,415,128,MD,,yes,244.7,375-2184,80,22.12,14.2,yes,3.67,167,5,130.1,1
710,76,176,3,0,6.95,415,131,ME,10.1,no,154.4,408-6621,80,37.94,18.22,no,2.73,214.4,2,223.2,0
711,73,82,0,0,12.02,510,120,OK,10.6,no,267.1,393-4823,102,56.07,17.71,no,2.86,208.3,6,329.8,1
712,144,36,1,0,10.97,408,69,WV,9.9,no,243.7,370-5001,146,29.77,18.44,no,2.67,216.9,3,175.1,0
713,67,41,3,0,10.07,510,74,WY,12.3,no,223.8,381-2413,156,38.05,20.81,no,3.32,244.8,5,,0
714,88,99,1,28,7.77,408,116,WY,9.1,no,172.7,389-8606,102,34.12,22.46,yes,2.46,264.2,5,200.7,0
